ID.Cell.per.Trip,Area,Site,Age,Year,Total.Angler.Hours,Grid.Cell.ID,Barred Sand Bass,Bat Ray,Bigmouth Sole,Black Rockfish,Black-and-Yellow Rockfish,Blacksmith,Blue Rockfish,Bocaccio,Brown Rockfish,Buffalo Sculpin,Bull Sculpin,Cabezon,Calico Rockfish,California Halibut,California Lizardfish,California Scorpionfish,California Sheephead,Canary Rockfish,Chilipepper Rockfish,China Rockfish,Chinook Salmon,Common Thresher Shark,Copper Rockfish,Deacon Rockfish,Fantail Sole,Freckled Rockfish,Garibaldi,Gopher Rockfish,Grass Rockfish,Halfmoon,Honeycomb Rockfish,Jack Mackerel,Jack Smelt,Kelp Bass,Kelp Greenling,Kelp Rockfish,Lingcod,Longfin Sanddab,Mackerel (Family Scombridae),Northern Anchovy,Ocean Whitefish,Olive or Yellowtail Rockfish,Olive Rockfish,Opaleye,Pacific  (Chub) Mackerel,Pacific Barracuda,Pacific Bonito,Pacific Halibut,Pacific Sanddab,Pacific Sardine,Painted Greenling,Pelagic Stingray,Petrale Sole,Pile Perch,Quillback Rockfish,Rock Greenling,Rock Sole,Rock Wrasse,Rosy Rockfish,Rubberlip Seaperch,Salema,Sand Sole,Sanddab spp.,Sarcastic Fringehead,Scalyhead Sculpin,Senorita,Sharpnose Surfperch,Silversides (Family Atherinopsidae),Soupfin Shark,Speckled Sanddab,Spiny Dogfish,Squarespot Rockfish,Starry Rockfish,Striped Seaperch,Tiger Rockfish,Top smelt,Treefish,Tubesnout,UnID Blue Rockfish,Unknown,Unknown rockfish,Vermilion Rockfish,White Croaker,White Seabass,Widow Rockfish,Wolf Eel,Yelloweye Rockfish,Yellowfin Croaker,Yellowtail Jack,Yellowtail Rockfish,Total
AIM09171903,Anacapa Island,MPA,New,2019,5.216666667,AI03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128436086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.546556212,0,0,0,0,0,0,10.83154836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.50654066
AIM09171904,Anacapa Island,MPA,New,2019,5.433333333,AI04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.265419879,0,0,0,0,0,0,0,0,0,0,0,0,0.216147236,0,0,0,1.581724772,0,0,0,0,0,0,7.927350673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99064256
AIM09181901,Anacapa Island,MPA,New,2019,5.75,AI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.175118818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209475953,0,0,0,0,0,0,13.62716734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01176211
AIM09181905,Anacapa Island,MPA,New,2019,2.894444444,AI05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231480776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25061059,0,0.139429193,0,0,0,0,9.810078953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.43159951
AIM09181907,Anacapa Island,MPA,New,2019,4.933333333,AI07,0,0,0,0,0,0,0,0.574938352,0,0,0,0,0,0,0,0.098987019,1.456066874,0,0,0,0,0,1.495042803,0,0,0,0,0.288422141,0,0,0,0,0,0,0,0,0,0,0,0,1.983627123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275022044,0,0,0,1.249686192,0,0,0,0,0,0,0,0,0,0,0,0,0,7.421792549
AIM09191901,Anacapa Island,MPA,New,2019,6.033333334,AI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660019299,0,0,0,0,0,0.919275221,0,0,0,0,0,0,0,0,0,0,1.397300945,0,0,0,0,0,0,12.39665684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3732523
AIM09191906,Anacapa Island,MPA,New,2019,4.966666667,AI06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160844577,0,0,0,0.30345149,0,0,0,0,0,0,0.745996836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.210292904
AIM10091905,Anacapa Island,MPA,New,2019,8.133333333,AI05,0,0,0,0,0,0.027701213,0,0,0,0,0,0,0,0,0,0,5.550633383,0,0,0,0,0,0.267866399,0,0,0,0,0,0,0,0,0,0,1.010358993,0,0,0,0,0,0,12.35492153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21148152
AIM10091909,Anacapa Island,MPA,New,2019,4.333333333,AI09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124277738,0.80977723,0,0,0,0,0,0.038872733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.037980585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168963338,0,0,0,0,0,0,0,0,0,0,0,0,0,4.179871623
AIM10181802,Anacapa Island,MPA,New,2018,4.916666667,AI02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.653842647,0,0,0,0,0,0.604421295,0,0,0,0,0,0,0,0,0,0,0.423227738,0,0.19952306,0,0,0,0,5.097305102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259375711,0,0,0,0,0,0,0,0,0,0,0,0,0,7.237695553
