Year,Area,Site,m.anglerdays,sedays
2012,Anacapa Island,MPA,9.25,3.119161212
2012,Anacapa Island,Reference,22.66666667,4.73435755
2012,Ano Nuevo,Between,3,0
2012,Ano Nuevo,MPA,5.333333333,1.201850425
2012,Ano Nuevo,Reference,12.125,3.130709071
2012,Bodega Head,MPA,15.5,3.4278273
2012,Bodega Head,Reference,27.77777778,7.103946043
2012,Cape Mendocino,Between,7,3.214550254
2012,Cape Mendocino,Reference,4,0
2012,Piedras Blancas,MPA,3,0
2012,Piedras Blancas,Reference,4.5,1.565247584
2012,Point Buchon,MPA,14.25,9.84356812
2012,Point Buchon,Reference,61.2,25.51940438
2012,Point Lobos,Between,5,0
2012,Point Lobos,Reference,8.25,3.424787098
2012,South La Jolla,Reference,132.25,29.87937057
2012,Stewarts Point,Reference,16.18181818,4.596081694
2012,Swamis,MPA,6.333333333,0.881917104
2012,Swamis,Reference,15.14285714,4.090806018
2012,Ten Mile,Between,12,9
2012,Ten Mile,MPA,6,3.082207001
2012,Ten Mile,Reference,5.333333333,1.626174789
2013,Anacapa Island,Reference,4.875,0.811469126
2013,Ano Nuevo,Between,11.66666667,6.691619967
2013,Ano Nuevo,MPA,17.4,3.969886648
2013,Ano Nuevo,Reference,12.42857143,4.269811766
2013,Bodega Head,MPA,5,2.081665999
2013,Bodega Head,Reference,41.1,13.5264761
2013,Cape Mendocino,Between,6.333333333,2.603416559
2013,Cape Mendocino,MPA,1,0
2013,Cape Mendocino,Reference,3,1
2013,Piedras Blancas,MPA,4,0
2013,Piedras Blancas,Reference,8.4,3.140063694
2013,Point Buchon,MPA,14.4,8.053570637
2013,Point Buchon,Reference,89.2,27.74779271
2013,Point Lobos,Between,40,0
2013,Point Lobos,MPA,3.5,0.5
2013,Point Lobos,Reference,23.6,5.500909016
2013,South La Jolla,Reference,157.625,38.28182033
2013,Stewarts Point,Between,3,0
2013,Stewarts Point,Reference,35.5,11.61433843
2013,Swamis,MPA,4.333333333,1.333333333
2013,Swamis,Reference,18,6.550172662
2013,Ten Mile,Between,5.5,1.5
2013,Ten Mile,MPA,2,0
2013,Ten Mile,Reference,14.16666667,4.527079019
2014,Anacapa Island,MPA,3,0
2014,Anacapa Island,Reference,3,0.707106781
2014,Ano Nuevo,Between,7.5,3.278719262
2014,Ano Nuevo,MPA,4.666666667,2.666666667
2014,Ano Nuevo,Reference,16.28571429,6.930657516
2014,Bodega Head,MPA,2,0
2014,Bodega Head,Reference,47.2,14.39120102
2014,Cape Mendocino,Between,16.75,5.072392598
2014,Cape Mendocino,MPA,3,0
2014,Cape Mendocino,Reference,4.8,1.392838828
2014,Carrington Point,Reference,6,0
2014,Piedras Blancas,Reference,8.5,4.5
2014,Point Buchon,MPA,20,12.01388086
2014,Point Buchon,Reference,88.6,25.34876723
2014,Point Lobos,Between,62,0
2014,Point Lobos,MPA,5,1
2014,Point Lobos,Reference,36.625,11.05495606
2014,South La Jolla,Reference,174.5,46.05974381
2014,Stewarts Point,Between,6.25,2.839454173
2014,Stewarts Point,MPA,3,1
2014,Stewarts Point,Reference,39.58333333,8.905614788
2014,Swamis,MPA,3,1
2014,Swamis,Reference,7.285714286,2.101182045
2014,Ten Mile,Between,6,0
2014,Ten Mile,MPA,2,0
2014,Ten Mile,Reference,6.6,2.461706725
2015,Anacapa Island,MPA,2.5,0.5
2015,Anacapa Island,Reference,4.1,0.721880261
2015,Ano Nuevo,Between,36.25,15.06859317
2015,Ano Nuevo,MPA,12.6,5.025932749
2015,Ano Nuevo,Reference,24.875,11.31755511
2015,Bodega Head,MPA,4.5,2.5
2015,Bodega Head,Reference,16.88888889,5.618531947
2015,Cape Mendocino,Between,20.75,9.312849546
2015,Cape Mendocino,MPA,3,0
2015,Cape Mendocino,Reference,7.25,1.666369021
2015,Carrington Point,Reference,2,0
2015,Piedras Blancas,MPA,3,0
2015,Piedras Blancas,Reference,3.833333333,0.600925213
2015,Point Buchon,MPA,34.25,27.28972639
2015,Point Buchon,Reference,94.8,34.34152006
2015,Point Lobos,Between,70,0
2015,Point Lobos,MPA,8.2,2.973213749
2015,Point Lobos,Reference,61.57142857,14.52396565
2015,South La Jolla,Reference,178.625,43.768032
2015,Stewarts Point,Between,5.5,1.5
2015,Stewarts Point,MPA,5,1
2015,Stewarts Point,Reference,80.22222222,32.88691811
2015,Swamis,MPA,2,0
2015,Swamis,Reference,9.166666667,4.077717226
2015,Ten Mile,Between,5.5,0.5
2015,Ten Mile,MPA,2,0
2015,Ten Mile,Reference,15,3.74907396
2016,Anacapa Island,MPA,3,0
2016,Anacapa Island,Reference,3.428571429,0.480928807
2016,Ano Nuevo,Between,43.66666667,18.6219703
2016,Ano Nuevo,MPA,7.666666667,4.255715112
2016,Ano Nuevo,Reference,18.5,5.876709478
2016,Bodega Head,MPA,5,1.957890021
2016,Bodega Head,Reference,34.6,9.899719412
2016,Cape Mendocino,Between,12.25,5.202163012
2016,Cape Mendocino,MPA,3,0
2016,Cape Mendocino,Reference,2.333333333,0.333333333
2016,Piedras Blancas,Reference,8.333333333,3.12694384
2016,Point Buchon,MPA,25,18.43456898
2016,Point Buchon,Reference,100.6,36.49465714
2016,Point Lobos,Between,159,0
2016,Point Lobos,MPA,5.2,1.019803903
2016,Point Lobos,Reference,41.25,11.44981285
2016,South La Jolla,Reference,182.25,51.43086552
2016,Stewarts Point,Between,3.5,1.5
2016,Stewarts Point,MPA,8.666666667,2.603416559
2016,Stewarts Point,Reference,50.83333333,18.82609139
2016,Swamis,MPA,4.5,0.5
2016,Swamis,Reference,9.857142857,2.955451552
2016,Ten Mile,Between,2,0
2016,Ten Mile,Reference,7.777777778,2.314073956
2017,Anacapa Island,MPA,2,0
2017,Anacapa Island,Reference,2,0
2017,Ano Nuevo,Between,17,4.082482905
2017,Ano Nuevo,MPA,9.4,1.96468827
2017,Ano Nuevo,Reference,11,3.044120015
2017,Bodega Head,Reference,29.8,9.278170318
2017,Cape Mendocino,Between,12.2,2.353720459
2017,Cape Mendocino,MPA,4,3
2017,Cape Mendocino,Reference,3.625,0.885145267
2017,Piedras Blancas,MPA,3.333333333,0.666666667
2017,Piedras Blancas,Reference,7,2.880972058
2017,Point Buchon,MPA,6.5,0.5
2017,Point Buchon,Reference,63.4,24.01582811
2017,Point Lobos,Between,182,0
2017,Point Lobos,MPA,9.333333333,2.02758751
2017,Point Lobos,Reference,79.33333333,16.87733523
2017,South La Jolla,Reference,262.5,69.16594951
2017,Stewarts Point,Between,4.5,1.5
2017,Stewarts Point,Reference,42.41666667,16.66263209
2017,Swamis,MPA,4.75,1.030776406
2017,Swamis,Reference,18.125,6.650557173
2017,Ten Mile,Between,10.5,3.5
2017,Ten Mile,Reference,15.3,5.274782776
2018,Anacapa Island,MPA,2,0
2018,Anacapa Island,Reference,2.25,0.25
2018,Ano Nuevo,Between,10.25,3.966001345
2018,Ano Nuevo,MPA,3.25,1.25
2018,Ano Nuevo,Reference,17.2,5.388877434
2018,Bodega Head,MPA,4,1.527525232
2018,Bodega Head,Reference,43.6,12.79687462
2018,Cape Mendocino,Between,8.333333333,2.40370085
2018,Cape Mendocino,Reference,6.25,2.594063736
2018,Carrington Point,Reference,2,0
2018,Piedras Blancas,MPA,3,0
2018,Piedras Blancas,Reference,6.833333333,2.300965981
2018,Point Buchon,MPA,17,11.50362262
2018,Point Buchon,Reference,78.6,29.88410949
2018,Point Lobos,Between,120,0
2018,Point Lobos,MPA,6.4,0.92736185
2018,Point Lobos,Reference,69.71428571,24.35620023
2018,South La Jolla,Reference,223.125,55.86061656
2018,Stewarts Point,Between,8.5,1.5
2018,Stewarts Point,MPA,1,0
2018,Stewarts Point,Reference,34.41666667,9.075823974
2018,Swamis,MPA,3,0.577350269
2018,Swamis,Reference,13.33333333,4.216370214
2018,Ten Mile,Between,6,4
2018,Ten Mile,Reference,13.625,3.494574877
2019,Anacapa Island,MPA,10,0
2019,Anacapa Island,Reference,5,1.683250823
2019,Ano Nuevo,Between,6,3
2019,Ano Nuevo,MPA,9,2
2019,Ano Nuevo,Reference,10.5,4.072263908
2019,Bodega Head,MPA,6.333333333,1.452966315
2019,Bodega Head,Reference,42.88888889,12.2275241
2019,Cape Mendocino,Between,11.4,6.615134163
2019,Cape Mendocino,Reference,2.2,0.2
2019,Piedras Blancas,MPA,2,1
2019,Piedras Blancas,Reference,7,2.84521319
2019,Point Buchon,MPA,32.33333333,25.84784539
2019,Point Buchon,Reference,53.4,14.26043478
2019,Point Lobos,Between,122,0
2019,Point Lobos,MPA,6.2,2.130727575
2019,Point Lobos,Reference,47.5,16.16322988
2019,South La Jolla,Reference,228,72.83788261
2019,Stewarts Point,Between,9.5,3.5
2019,Stewarts Point,MPA,2,0
2019,Stewarts Point,Reference,29.27272727,7.88795504
2019,Swamis,MPA,8,0
2019,Swamis,Reference,18.66666667,9.745654302
2019,Ten Mile,MPA,2,0
2019,Ten Mile,Reference,8.4,2.088061302
