Year,Area,Site,meansst,sesst,meannpp,senpp,meanorbv,seorbv,meanwh,sewh,meanws,sews
2007,Ano Nuevo,MPA,13.60462026,0.155907666,2709.203983,100.7745926,277.1533475,30.07191921,1.517432641,0.040699131,NA,NA
2007,Ano Nuevo,REF,13.49155647,0.3156896,2989.317862,181.6934821,255.449756,20.84936666,1.567899117,0.037101275,NA,NA
2007,Point Lobos,MPA,13.73958382,0.134666348,1058.197251,56.46075825,257.7132463,26.75662773,1.545415874,0.04375361,NA,NA
2007,Point Lobos,REF,13.82852273,0.13678136,1545.889815,135.1071706,280.334246,24.58601198,1.614520544,0.041894872,NA,NA
2007,Piedras Blancas,MPA,13.69239336,0.072258061,1473.090959,41.0221842,266.4621856,14.71604497,1.530042504,0.02273097,NA,NA
2007,Piedras Blancas,REF,13.72328412,0.106860376,1521.541358,41.97354077,129.892138,10.53769184,1.08610543,0.014619613,NA,NA
2007,Point Buchon,MPA,13.8578986,0.192514294,1522.093475,51.79462351,282.3711455,26.2780169,1.589272443,0.040655284,NA,NA
2007,Point Buchon,REF,14.20239503,0.216500986,1797.049389,103.9635679,283.0355502,20.86426183,1.627579484,0.034872815,NA,NA
2008,Ano Nuevo,MPA,13.57730237,0.173782062,2194.46218,60.76461409,501.5847837,63.29451128,1.543593709,0.040093671,NA,NA
2008,Ano Nuevo,REF,12.79372679,0.264792671,2487.251029,177.2003526,436.5117441,47.40696836,1.596062678,0.035745207,NA,NA
2008,Point Lobos,MPA,13.0761508,0.304688031,1265.74368,145.7259848,409.3402173,55.7701552,1.554622208,0.042508173,NA,NA
2008,Point Lobos,REF,13.43634445,0.232161538,1047.957609,56.32335301,446.6480913,53.5124255,1.622181646,0.038281713,NA,NA
2008,Piedras Blancas,MPA,14.27462655,0.111362219,1535.539253,35.68652734,425.7578422,29.6129366,1.567211316,0.021853969,NA,NA
2008,Piedras Blancas,REF,13.88511905,0.087035906,1735.588033,62.47837698,203.7873623,15.93249322,1.139282921,0.013818159,NA,NA
2008,Point Buchon,MPA,14.27831038,0.260851675,1894.492955,176.7407797,387.5028288,42.96320682,1.588204577,0.038063955,NA,NA
2008,Point Buchon,REF,14.54969926,0.081005676,2056.781377,126.2501976,373.1236623,35.82453562,1.613549455,0.031585469,NA,NA
2009,Ano Nuevo,MPA,12.96397161,0.174009586,2384.031095,98.45589866,225.4216513,12.49424185,1.469451048,0.035784165,NA,NA
2009,Ano Nuevo,REF,13.33832319,0.380430942,2317.849433,218.9914533,211.6513294,11.15759708,1.513560694,0.033174259,NA,NA
2009,Point Lobos,MPA,12.946115,0.445436135,975.0803939,56.54572942,219.430221,15.0837242,1.465129462,0.039153724,NA,NA
2009,Point Lobos,REF,13.42273889,0.248948406,998.4209811,92.41503334,229.2029579,13.39235622,1.51491577,0.033527243,NA,NA
2009,Piedras Blancas,MPA,13.58809644,0.048128551,2363.806974,90.51644163,265.075595,10.4699728,1.582806626,0.019393594,NA,NA
2009,Piedras Blancas,REF,13.68371702,0.048922711,2443.75861,87.08140463,114.4803367,3.954381757,1.127823932,0.010695325,NA,NA
2009,Point Buchon,MPA,14.0888763,0.151024113,2070.803226,204.6251855,240.6496367,19.02943148,1.542011403,0.036216398,NA,NA
2009,Point Buchon,REF,14.25283468,0.112055342,2612.713231,195.9894836,252.2659142,17.04724562,1.578785947,0.030427669,NA,NA
2010,Ano Nuevo,MPA,13.06110046,0.061918541,2539.695351,138.0214344,365.9593845,29.09623072,1.711080923,0.051845524,NA,NA
2010,Ano Nuevo,REF,13.01668665,0.133994262,3028.35986,235.5490302,337.3528833,25.50502857,1.732068685,0.047358974,NA,NA
2010,Point Lobos,MPA,13.12708,0.076178352,1342.834914,182.5434195,326.1686836,30.78631732,1.680218317,0.055614437,NA,NA
2010,Point Lobos,REF,13.43550004,0.076133821,2217.080936,240.7821503,359.718577,28.84964698,1.744312725,0.050502918,NA,NA
2010,Piedras Blancas,MPA,13.25229446,0.059661113,2295.794586,59.10413115,411.2317488,21.31034185,1.811958292,0.027331158,NA,NA
2010,Piedras Blancas,REF,13.45075145,0.079433569,2161.56681,56.78697763,153.1479941,7.401810957,1.300017743,0.017921863,NA,NA
2010,Point Buchon,MPA,14.31206765,0.258536653,1980.482937,109.1896267,333.3213391,29.65752882,1.757464518,0.046793906,NA,NA
2010,Point Buchon,REF,13.62725533,0.154996195,2735.496481,144.3888067,342.6530174,23.2662659,1.7970951,0.039713292,NA,NA
2011,Ano Nuevo,MPA,13.98259973,0.169073922,2096.597221,79.25020161,199.8627571,10.896019,1.439642193,0.029499832,NA,NA
2011,Ano Nuevo,REF,14.45824347,0.140138006,2810.386144,282.9799849,199.7271713,11.41849856,1.475337936,0.027227341,NA,NA
2011,Point Lobos,MPA,14.40247409,0.195195422,2316.211591,221.9488763,234.9053344,16.77920183,1.609269931,0.038121505,NA,NA
2011,Point Lobos,REF,14.37127267,0.116146148,1398.015073,93.35970621,267.5755813,19.43491429,1.646195537,0.033213557,NA,NA
2011,Piedras Blancas,MPA,14.26955351,0.073302887,2455.08628,78.15783234,259.7740616,8.864851232,1.679603683,0.018429564,NA,NA
2011,Piedras Blancas,REF,14.06122431,0.091759119,2453.063099,89.52675493,114.4959449,3.607145897,1.206445652,0.01108376,NA,NA
2011,Point Buchon,MPA,14.71615727,0.053288901,2893.800994,341.4754751,238.287527,15.8968777,1.626673232,0.032901245,NA,NA
2011,Point Buchon,REF,15.03240305,0.056982886,3040.32099,237.4493884,247.1526582,12.25749406,1.665336301,0.024823987,NA,NA
2012,Ano Nuevo,MPA,13.32251186,0.156397181,1896.83629,121.1924984,297.0304264,20.26381613,1.520876101,0.037745882,NA,NA
2012,Ano Nuevo,REF,13.24824049,0.179682206,1893.972435,131.7933315,270.5433578,17.29050397,1.527191408,0.034797859,NA,NA
2012,Point Lobos,MPA,13.45334552,0.174606619,2167.578994,492.5258635,306.7902478,28.7513869,1.675103064,0.047051764,NA,NA
2012,Point Lobos,REF,13.63588809,0.147457788,3327.791034,466.7895213,326.2318873,25.85928977,1.724388394,0.0428794,NA,NA
2012,Piedras Blancas,MPA,14.07283063,0.077025249,1728.763554,73.077306,303.8162547,13.72704359,1.646425058,0.023068714,NA,NA
2012,Piedras Blancas,REF,14.02017934,0.079988696,1970.247234,98.18490792,130.9726657,6.415390709,1.148162778,0.013967599,NA,NA
2012,Point Buchon,MPA,14.91186107,0.126885883,2393.271377,292.945622,254.2846275,20.700144,1.5704665,0.041344126,NA,NA
2012,Point Buchon,REF,14.77777967,0.105295084,2138.271848,94.9807268,260.4022274,18.46226232,1.609922255,0.035367605,NA,NA
